Spanish,English,French,Chinese,Topic,Sub-topic,AudioOK,ImageOK,EnglishAudio,SpanishAudio,Image,Original image name,Copyright (if any),Missing,Existing,New,Comments,frenchaudio,chineseaudio
el dedo del pie,toe,,脚趾,Doctor,,✓,✓,oas_eng_toe,oas_spa_el_dedo_del_pie,dedo_del_pie,bigstock-Tender-interior-photo-of-cute--89924018,,,,X,,,
al aeropuerto,at the airport,,飞机场,Traveling,Airport,✓,x (pixelada),oas_eng_at_the_airport,oas_spa_al_aeropuerto,aeropuerto,,,,X,,,,
Agencia de Viajes,Travel Agency,,旅行社,Signage,,✓,x (pixelada),oas_eng_travel_agency,oas_spa_agencia_de_viajes,agencia_de_viajes,,,,X,,,,
la uña,fingernail,,手指甲,Doctor,,✓,✓,oas_eng_fingernail,oas_spa_la_una,una,shutterstock_302160734,,,,X,,,
la cabeza,head,,头,Doctor,,✓,✓,oas_eng_head,oas_spa_la_cabeza,cabeza,shutterstock_317215418,,,,X,,,
la cara,face,,脸,Doctor,,✓,✓,oas_eng_face,oas_spa_la_cara,cara,bigstock-Beautiful-Woman-with-Clean-Fre-95095787,,,,X,,,
"la piel, la tez",skin,,皮肤,Doctor,,✓,x,oas_eng_skin,oas_spa_la_piel,,,,,,X,,,
agosto,August,,八月,Time,Months,✓,x (pixelada),oas_eng_august,oas_spa_agosto,agosto,,,,X,,,,
la rodilla,knee,,膝盖,Doctor,,✓,✓,oas_eng_knee,oas_spa_la_rodilla,rodilla,bigstock-Running-injury--Man-jogging-w-65610427.jpg,,,,X,,,
el tobillo,ankle,,脚踝,Doctor,,✓,x,oas_eng_ankle,oas_spa_el_tobillo,,,,,,X,,,
la boca,mouth,,嘴,Doctor,,✓,✓,oas_eng_mouth,oas_spa_la_boca,boca,,,,X,,,,
los labios,lips,,嘴唇,Doctor,,✓,✓,oas_eng_lip,oas_spa_los_labios,labios,bigstock-Close-up-Shot-Of-Woman-Lips-Wi-139805609,,,,X,,,
la lengua,tongue,,舌头,Doctor,,✓,✓,oas_eng_tongue,oas_spa_la_lengua,lengua,,,,X,,,,
el hombro,shoulder,,肩膀,Doctor,,✓,✓,oas_eng_shoulder,oas_spa_el_hombro,hombro,bigstock-Woman-With-Pain-In-Shoulder-P-95773907.jpg,,,,X,,,
el estómago,stomach,,胃,Doctor,,✓,✓,oas_eng_stomach,oas_spa_el_estomago,estomago,bigstock-Pain-in-stomach-114457190,,,,X,,,
el diente,tooth,,牙齿,Doctor,,✓,✓,oas_eng_tooth,oas_spa_el_diente,diente,bigstock-Dentist--129869771,,,,X,,,
Necesito (un/una) ...,I need a/an ...,,我需要一（个）_____,Doctor,,✓,✓,oas_eng_i_need_a/an,oas_spa_necesito_(un/una),necesito,shutterstock_345749960,,,,X,,,
una ambulancia,ambulance,,救护车,Doctor,,✓,x,oas_eng_ambulance,oas_spa_una_ambulancia,,,,,,X,,,
el agua (con/sin gas),water (with/without bubbles),,水（有/无气泡）,Food,Drink,✓,x (pixelada),oas_eng_water_(with/without_bubbles),oas_spa_el_agua_(con/sin_gas),agua,,,,X,,,,
ahora,now,,现在,Time,Hours,✓,x (pixelada),oas_eng_now,oas_spa_ahora,ahora,,,,X,,,,
un hospital,hospital,,医院,Doctor,,✓,✓,oas_eng_hospital,oas_spa_un_hospital,hospital,bigstock-Modern-Hospital-6226852,,,,X,,,
una clínica,clinic,,诊所,Doctor,,✓,✓,oas_eng_clinic,oas_spa_una_clinica,clinica,shutterstock_392778373,,,,X,,,
el ajo,garlic,,大蒜,Food,Names,✓,x (pixelada),oas_eng_garlic,oas_spa_el_ajo,ajo,,,,X,,,,
una farmacia,pharmacy/drugstore,,药房,Doctor,,NA,NA,oas_eng_pharmacy,oas_spa_una_farmacia,,,,,,X,,,
En la farmacia,At the pharmacy,,在药店,Pharmacy,,NA,NA,oas_eng_at_the_pharmacy,oas_spa_en_la_farmacia,,,,,,X,,,
la aspirina,aspirin,,阿司匹林,Pharmacy,,✓,x,oas_eng_aspirin,oas_spa_la_aspirina,,,,,,X,,,
la tirita,band-aid,,创可贴,Pharmacy,,✓,✓,oas_eng_band-aid,oas_spa_la_tirita,tirita,bigstock-Band-aid-100805090,,,,X,,,
el peine,comb,,梳子,Pharmacy,,✓,x,oas_eng_comb,oas_spa_el_peine,,,,,X,,,,
el cepillo,brush,,刷子,Pharmacy,,✓,x,oas_eng_brush,oas_spa_el_cepillo,,,,,X,,,,
el repelente de insectos,insect repellent,,防虫剂,Pharmacy,,✓,✓,oas_eng_insect_repellent,oas_spa_el_repelente_de_insectos,repelente,bigstock-Woman-spraying-insect-repellen-69493825,,,,X,,,
la loción,lotion,,霜,Pharmacy,,✓,✓,oas_eng_lotion,oas_spa_la_locion,locion,shutterstock_253507726,,,,X,,,
el analgésico,pain reliever,,止痛剂,Pharmacy,,✓,✓,oas_eng_pain_reliever,oas_spa_el_analgesico,analgesico,shutterstock_315858293,,,,X,,,
"la maquinilla de afeitar, la afeitadora",razor,,剃刀,Pharmacy,,✓,✓,oas_eng_razor,oas_spa_la_maquinilla_de_afeitar,afeitadora,bigstock--139713695,,,,X,,,
allí,there,,那里,Conversation,Directions,✓,x (pixelada),oas_eng_there,oas_spa_alli,alli,,,,X,,,,
el champú,shampoo,,洗发露,Pharmacy,,✓,✓,oas_eng_shampoo,oas_spa_el_champu,shampoo,bigstock--138960125,,,,X,,,
la crema solar,sunscreen,,防晒霜,Pharmacy,,✓,✓,oas_eng_sunscreen,oas_spa_la_crema_solar,crema_solar,bigstock-Female-hands-with-suncream-bot-120362066,,,,X,,,
el cepillo de dientes,toothbrush,,牙刷,Pharmacy,,✓,✓,oas_eng_toothbrush,oas_spa_el_cepillo_de_dientes,cepillo_de_dientes,bigstock-Multicolor-Toothbrushes-112393934,,,,X,,,
la pasta dentífrica,toothpaste,,牙膏,Pharmacy,,✓,✓,oas_eng_toothpaste,oas_spa_la_pasta_dentifrica,pasta_dentifrica,bigstock-tube-of-toothpaste-on-a-white--124384970,,,,X,,,
En una emergencia,In an emergency,,在急救室,Emergency,,NA,NA,oas_eng_in_an_emergency,oas_spa_en_una_emergencia,emergencia,shutterstock_391770694,,,,X,,,
¡Ambulancia!,Ambulance!,,救护车！,Emergency,,✓,x,oas_eng_ambulance,oas_spa_ambulancia,ambulancia,image-1050094,,,,X,,,
"Soy alérgico/a a ...
",I'm allergic to ...,,,Emergency,,x,✓,oas_eng_i'm_allergic_to,"oas_spa_soy_alergico_a
",alergico,shutterstock_139672558,,,,X,,,
¡Fuego!,Fire!,,着火了！,Emergency,,✓,✓,oas_eng_fire,oas_spa_fuego,fuego,bigstock-Fire-flames-on-a-black-backgro-115991129,,,,X,,,
¡Socorro!,Help!,,救命！,Emergency,,✓,✓,oas_eng_help,oas_spa_socorro,socorro,shutterstock_414668839,,,,X,no es una imagen de socorro.,,
¡Estoy perdido/a!,I’m lost!,,我迷路了！,Emergency,,✓,✓,oas_eng_im_lost,oas_spa_estoy_perdido/a,estoy_perdido,bigstock--131631911,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
¡Déjeme tranquilo/a!,Leave me alone!,,别管我！／离开我！,Emergency,,✓,✓,oas_eng_leave_me_alone,oas_spa_dejeme_tranquilo/a,dejame_tranquila,shutterstock_295943060,,,,X,,,
¡Rápido!,Quickly!,,快！,Emergency,,✓,x,oas_eng_quickly,oas_spa_rapido,,,,,X,,,,
¡Urgente!,Urgent!,,紧急！,Emergency,,✓,✓,oas_eng_urgent,oas_spa_urgente,urgente,,,,X,,,,
En el hotel,At the Hotel,,在酒店,Hotel,,NA,NA,oas_eng_at_the_hotel,oas_spa_en_el_hotel,,,,,,X,,,
Tengo una reservación/reserva (Esp.),I have a reservation,,我订了一个房间。,Hotel,,✓,x,oas_eng_i_have_a_reservation,oas_spa_tengo_una_reservacion,,,,,X,,,,
Me llamo ...,My name is ...,,我叫_____,Hotel,,✓,x,oas_eng_my_name_is,oas_spa_me_llamo,,,,,,X,,,
Me gustaría una habitación ...,I would like a room ...,,我想订一个房间。,Hotel,,✓,✓,oas_eng_i_would_like_a_room,oas_spa_me_gustaria_una_habitacion,una_habitacion,shutterstock_142501801,,,,X,,,
sencilla,for one person,,单人的,Hotel,,x,✓,oas_eng_for_one_person,oas_spa_sencilla,sencilla,shutterstock_242376118,,,,X,,,
una almohada,pillow,,枕头,Hotel,,✓,x (pixelada),oas_eng_pillow,oas_spa_una_almohada,almohada,,,,X,,,,
con camas gemelas,with single beds,,有单人床的,Hotel,,✓,✓,oas_eng_with_single_beds,oas_spa_con_camas_gemelas,camas_gemelas,shutterstock_458001262,,,,X,,,
con cama matrimonial,with a double bed,,有双人床的,Hotel,,✓,✓,oas_eng_with_a_double_bed,oas_spa_con_cama_matrimonial,cama_matrimonial,shutterstock_177258605,,,,X,,,
de no fumar,no smoking,,无烟,Hotel,,✓,x,oas_eng_no_smoking,oas_spa_de_no_fumar,,,,,X,,,,
con baño privado,private bath,,独立卫生间,Hotel,,✓,x,oas_eng_private_bath,oas_spa_con_bano_privado,,shutterstock_63968566,,,,X,,,
con baño compartido,shared bath,,公用卫生间,Hotel,,✓,x,oas_eng_shared_bath,oas_spa_con_bano_compartido,,shutterstock_78958987,,,,X,,,
"la factura, la cuenta",bill,,账单,Hotel,,✓,✓,oas_eng_bill,oas_spa_la_factura,cuenta,bigstock-Guest-Check-And-Dollar-121230485,,,,X,,,
el conserje,concierge,,宾馆门房／礼宾部,Hotel,,✓,x,oas_eng_concierge,oas_spa_el_conserje,conserje,shutterstock_409904530,,,,X,,,
la salida de emergencia,fire escape,,防火通道,Hotel,,✓,✓,oas_eng_fire_escape,oas_spa_la_salida_de_emergencia,salida_de_emergencia,shutterstock_127209326,,,,X,,,
Internet inalámbrico,wireless internet,,互联网（wifi）,Hotel,,✓,✓,oas_eng_wireless_internet,oas_spa_internet_inalambrico,wifi,shutterstock_401305750,,,,X,,,
Internet,internet,,,Hotel,,x,x,oas_eng_internet,oas_spa_el_internet,internet,shutterstock_426762853,,,,X,,,
el anillo/el pendiente,ring,,戒指,Clothing,,✓,x (pixelada),oas_eng_ring,oas_spa_el_anillo/el_pendiente,anillo,,,,X,,,,
llaves,keys,,,Hotel,,x,✓,oas_eng_keys,oas_spa_llaves,llaves,shutterstock_141627028,,,,X,,,
candado,lock,,,Hotel,,x,✓,oas_eng_lock,oas_spa_candado,candado,shutterstock_431743915,,,,X,,,
"cargador de celular, computadora, cámara","charger (cellphone, computer, camera)",,,Hotel,,x,✓,,oas_spa_cargador_de_celular,cargador,shutterstock_449833024,,,,X,,,
los mensajes,messages,,留言,Hotel,,✓,✓,oas_eng_messages,oas_spa_los_mensajes,mensajes,shutterstock_168390011,,,,X,,,
el servicio de habitaciones,room service,,送餐服务,Hotel,,x,✓,oas_eng_room_service,oas_spa_el_servicio_de_habitacion,servicio_de_habitacion,shutterstock_161207321,,,,X,,,
la caja fuerte,safety deposit box,,保险箱,Hotel,,✓,✓,oas_eng_safety_deposit_box,oas_spa_la_caja_fuerte,caja_fuerte,shutterstock_14142487,,,,X,,,
el servicio despertador,wake-up call,,电话叫醒服务,Hotel,,✓,✓,oas_eng_wake-up_call,oas_spa_el_servicio_despertador,servicio_despertador,shutterstock_218068804,,,,X,,,
Haga el favor de mandar a mi habitación ...,Please send to my room ...,,请送到我房间来。,Hotel,,✓,✓,oas_eng_please_send_to_my_room,oas_spa_haga_el_favor_de_mandar_a_mi_habitacion____,mandar_a_mi_habitacion,shutterstock_118237546,,,,X,,,
un botones,bellhop,,旅馆侍者,Hotel,,✓,✓,oas_eng_bellhop,oas_spa_un_botones,botones,shutterstock_143063674,,,,X,,,
el año,year,,年,Time,Months,✓,x (pixelada),oas_eng_year,oas_spa_el_ano,ano,,,,X,,,,
¡Apague!,Turn Off,,关掉,Signage,,✓,x (pixelada),oas_eng_turn_off,oas_spa_apague,apague,shutterstock_146127242,,,,X,,,
el arete,earring,,耳环,Clothing,,x,x (pixelada),oas_eng_earring,oas_spa_el_arete,arete_pendiente,,,,X,,,,
el arroz,rice,,米饭,Food,Names,✓,x (pixelada),oas_eng_rice,oas_spa_el_arroz,arroz,,,,X,,,,
más jabón,more soap,,更多的肥皂,Hotel,,✓,✓,oas_eng_more_soap,oas_spa_mas_jabon,jabon,shutterstock_368889077,"<a href=""http://www.shutterstock.com/gallery-2945182p1.html?cr=00&pl=edit-00"">LUMIKK555</a> / <a href=""http://www.shutterstock.com/editorial?cr=00&pl=edit-00"">Shutterstock.com</a> LUMIKK555 / Shutterstock.com",,,X,,,
la autopista,highway,,高速公路,Traveling,Road,✓,x (pixelada),oas_eng_highway,oas_spa_la_autopista,autopista,,,,X,,,,
la autopista/la carretera (de peaje),road (toll),,公路（收费）,Traveling,Road,✓,x (pixelada),oas_eng_road_(toll),oas_spa_la_autopista/la_carretera_(de_peaje),autopista,shutterstock_424145266,,,,X,,,
¡Un momento!,Just a minute!,,等一下！,Hotel,,✓,x,oas_eng_just_a_minute,oas_spa_un_momento,un_momento,shutterstock_470936345,,,,X,,,
"¡Adelante!, ¡Pase!",Come in!,,进来！,Hotel,,✓,✓,oas_eng_come_in,oas_spa_adelante,come_in,shutterstock_218262739,,,,X,,,
Gracias.,Thank you.,,谢谢,Hotel,,✓,x,oas_eng_thank_you,oas_spa_gracias,,,,,,X,,,
Good night.,Buenas noches.,,晚安,Hotel,,revisar,revisar,oas_eng_buenas_noches,oas_spa_good_night,good_night,shutterstock_15283693,,,,X,Está al revés. La palabra de español está en donde debe ir la de inglés y viceversa.,,
LA ROPA y LOS ACCESORIOS,Clothing and Accessories,,衣服饰品,Clothing,,NA,NA,oas_eng_clothing_and_accessories,oas_spa_la_ropa_y_los_accesorios,ropa,shutterstock_89416408,,,,X,,,
ayer,yesterday,,昨天,Time,Days,✓,x (pixelada),oas_eng_yesterday,oas_spa_ayer,ayer,,,,X,,,,
bajar,go down,,下去,Conversation,Directions,✓,x (pixelada),oas_eng_go_down,oas_spa_bajar,bajar,,,,X,,,,
el barco,boat,,船,Traveling,Airport,✓,x (pixelada),oas_eng_boat,oas_spa_el_barco,barco,,,,X,,,,
el crucero,cruise ship,,游轮,Traveling,Airport,✓,x (pixelada),oas_eng_cruise_ship,oas_spa_el_crucero,barco_crucero,,,,X,,,,
Basura,Trash,,垃圾,Signage,,✓,x (pixelada),oas_eng_trash,oas_spa_basura,basura,,,,X,,,,
la bata,bathrobe,,浴袍,Clothing,,✓,x (pixelada),oas_eng_bathrobe,oas_spa_la_bata,bata,,,,X,,,,
la blusa,blouse,,女式衬衫／宽松的上衣,Clothing,,✓,x (pixelada),oas_eng_blouse,oas_spa_la_blusa,blusa,,,,X,,,,
"el billete, el boleto",ticket,,票,Packing,,✓,x (pixelada),oas_eng_ticket,oas_spa_el_billete,boleto,shutterstock_112930312,,,,X,,,
las botas,boots,,靴子,Clothing,,✓,x (pixelada),oas_eng_boots,oas_spa_las_botas,botas,,,,X,,,,
la botella,bottle,,瓶子,Food,Table,✓,x (pixelada),oas_eng_bottle,oas_spa_la_botella,botella,,,,X,,,,
la bufanda,scarf,,围巾,Clothing,,✓,x (pixelada),oas_eng_scarf,oas_spa_la_bufanda,bufanda,,,,X,,,,
las joyas,jewelry,,珠宝首饰,Clothing,,✓,✓,oas_eng_jewelry,oas_spa_las_joyas,joyas,bigstock-Beautiful-Indian-woman-portrai-101431628,,,,X,,,
el piyama/el pijama (Esp.),pajamas,,睡衣,Clothing,,✓,✓,oas_eng_pajamas,oas_spa_el_piyama/el_pijama_(esp),pijama,bigstock--122388587,,,,X,,,
el café,coffee,,咖啡,Food,Drink,✓,x (pixelada),oas_eng_coffee,oas_spa_el_cafe,cafe,,,,X,,,,
el impermeable,raincoat,,雨衣,Clothing,,✓,✓,oas_eng_raincoat,oas_spa_el_impermeable,impermeable,bigstock--131702213,,,,X,,,
"los calcetines, las medias",socks,,袜子,Clothing,,✓,x (pixelada),oas_eng_socks,oas_spa_los_calcetines,calcetines_medias,,,,X,,,,
la calle,street,,街,Traveling,Town,✓,x (pixelada),oas_eng_street,oas_spa_la_calle,calle,,,,X,,,,
el camión,truck,,卡车,Traveling,Road,✓,x (pixelada),oas_eng_truck,oas_spa_el_camion,camion,,,,X,,,,
la camisa,shirt,,T恤衫,Clothing,,✓,x (pixelada),oas_eng_t-shirt,oas_spa_la_camisa,camisa,,,,X,,no es la imagen adecuada,,
"la sudadera
",sweatshirt,,,Clothing,,x,✓,,,sudadera,shutterstock_447297418,,,,X,,,
la camiseta,T-shirt,,衬衫,Clothing,,✓,x (pixelada),oas_eng_shirt,oas_spa_la_camiseta,camiseta,,,,X,,,,
la casa,house,,房子,Traveling,Town,✓,x (pixelada),oas_eng_house,oas_spa_la_casa,casa,,,,X,,,,
cerca (de),near,,近,Conversation,Directions,✓,x (pixelada),oas_eng_near,oas_spa_cerca_(de),cerca,,,,X,,,,
la chaqueta,jacket,,夹克,Clothing,,✓,x (pixelada),oas_eng_jacket,oas_spa_la_chaqueta,chaqueta,,,,X,,,,
el traje,suit,,西装,Clothing,,✓,✓,oas_eng_suit,oas_spa_el_traje,traje,bigstock-handsome-young-man-in-suit-on--114917186,,,,X,,,
las gafas de sol,sunglasses,,墨镜,Clothing,,✓,✓,oas_eng_sunglasses,oas_spa_las_gafas_de_sol,gafas_de_sol,shutterstock_425986828,,,,X,,,
el cinturón,belt,,皮带,Clothing,,✓,x (pixelada),oas_eng_belt,oas_spa_el_cinturon,cinturon,,,,X,,,,
la ciudad,city,,城市,Traveling,Town,✓,x (pixelada),oas_eng_city,oas_spa_la_ciudad,ciudad,,,,X,,,,
el collar,necklace,,项链,Clothing,,✓,x (pixelada),oas_eng_necklace,oas_spa_el_collar,collar,,,,X,,,,
la corbata,tie,,领带,Clothing,,✓,x (pixelada),oas_eng_tie,oas_spa_la_corbata,corbata,,,,X,,,,
la cuchara,spoon,,勺,Food,Table,✓,x (pixelada),oas_eng_spoon,oas_spa_la_cuchara,cuchara,,,,X,,,,
el cuchillo,knife,,刀,Food,Table,✓,x (pixelada),oas_eng_knife,oas_spa_el_cuchillo,cuchillo,,,,X,,,,
De nada.,You’re welcome.,,〜不客气,Conversation,,✓,x (tamaño),oas_eng_youre_welcome,oas_spa_de_nada,de_nada,shutterstock_427629559,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
¿De dónde es Ud.?,Where are you from?,,你从哪里来？,Conversation,,✓,x (pixelada),oas_eng_where_are_you_from?,oas_spa_de_donde_es_ud,de-donde-es-usted,,,,X,,,,
un/a dentista,dentist,,牙医,Doctor,,✓,x (pixelada),oas_eng_dentist,oas_spa_un/a_dentista,dentista,,,,X,,,,
Está nublado.,It’s cloudy.,,今天多云,Weather,,✓,x,oas_eng_its_cloudy,oas_spa_esta_nublado,,,,,X,,"Corregir apóstrofe en inglés, están usando tilde.",,
el desayuno,breakfast,,早餐,Hotel,,✓,x (pixelada),oas_eng_breakfast,oas_spa_el_desayuno,desayunar,,,,X,,,,
Hace buen tiempo.,It’s beautiful.,,（天气）真美好,Weather,,✓,x,oas_eng_its_beautiful,oas_spa_hace_buen_tiempo,,,,,X,,"Corregir apóstrofe en inglés, están usando tilde.",,
Llueve (Está lloviendo).,It’s raining.,,下雨了,Weather,,✓,x,oas_eng_its_raining,oas_spa_llueve_(esta_lloviendo),,,,,X,,"Corregir apóstrofe en inglés, están usando tilde.",,
diciembre,December,,十二月,Time,Months,✓,x (pixelada),oas_eng_december,oas_spa_diciembre,diciembre,,,,X,,,,
Signos y señales,Survival signage,,,Signage,,NA,NA,oas_eng_survival_signage,oas_spa_signos_y_senales,survival_signage,shutterstock_77670103,,,,X,,,
domingo,Sunday,,星期日,Time,Days,✓,x (pixelada),oas_eng_sunday,oas_spa_domingo,domingo,,,,X,,,,
Cerrado,Closed,,关闭,Signage,,✓,x (equivocada),oas_eng_closed,oas_spa_cerrado,cerrado,shutterstock_2713536,,,X,X,,,
"¡Adelante!, ¡Siga!",Go,,走,Signage,,✓,✓,oas_eng_go,oas_spa_adelante,siga,shutterstock_35107975,,,,X,,,
¡Pare!,Stop,,停,Signage,,✓,x,oas_eng_stop,oas_spa_pare,,,,,X,,,,
